       time(sec)         focus        45deg_astig      0deg_astig       y_coma          x_coma         y_trefoil       x_trefoil       spherical
       106300.00       0.0000000  -2.5140510e-13   4.2579020e-11  -2.2104705e-12   2.9739197e-11  -1.1049642e-12   2.3899799e-12  -2.2534803e-13
       107300.00       0.0000000  -1.0275242e-12   4.0297835e-11  -3.0189009e-12   2.8171587e-11  -2.1514390e-12   2.9083936e-12  -3.3315871e-13
       108300.00       0.0000000  -1.2895231e-12   3.9064117e-11  -1.8991688e-12   2.8162915e-11  -1.5273860e-12   2.5909821e-12  -1.5056439e-12
       109300.00       0.0000000   6.0004893e-13   3.8540858e-11  -2.2445726e-12   2.7305564e-11  -2.5142243e-12   2.8853853e-12  -5.7304839e-13
       110300.00       0.0000000  -6.8977007e-13   3.8740504e-11  -1.4773581e-12   2.6401980e-11  -2.0291971e-12   2.3560511e-12  -9.9140693e-13
       111300.00       0.0000000  -1.6424253e-12   3.8863891e-11  -2.6162481e-12   2.8911332e-11  -2.7864154e-12   2.5248167e-12  -9.2755903e-13
       112300.00       0.0000000  -5.8058257e-13   3.9059846e-11  -3.6618497e-13   2.7881409e-11  -2.0374444e-12   1.9841026e-12   2.3382820e-13
       113300.00       0.0000000  -9.4305192e-14   3.7428501e-11  -1.5916068e-12   2.7437328e-11  -2.0181669e-12   3.0216829e-12  -6.8555567e-13
       114300.00       0.0000000  -1.1706041e-12   3.9109795e-11  -1.3073183e-12   2.6986592e-11  -1.1366554e-12   3.8552178e-12  -1.2615865e-12
       115300.00       0.0000000  -3.2081154e-12   3.6319812e-11   1.4205667e-13   2.6501997e-11  -1.2019759e-12   2.8761082e-12  -9.5453517e-13
       116300.00       0.0000000  -1.4643206e-12   3.7772559e-11   2.3014212e-14   2.7225474e-11  -1.1151367e-12   1.3980815e-12   2.0953500e-13
       117300.00       0.0000000  -2.0825691e-12   3.7740047e-11  -5.7564556e-14   2.6883544e-11  -1.6251203e-12   1.5199592e-12  -1.3908292e-13
       118300.00       0.0000000  -2.7008174e-12   3.7707535e-11  -1.3814334e-13   2.6541616e-11  -2.1351037e-12   1.6418369e-12  -4.8770086e-13
       119300.00       0.0000000  -3.3190659e-12   3.7675023e-11  -2.1872209e-13   2.6199687e-11  -2.6450873e-12   1.7637147e-12  -8.3631875e-13
       120300.00       0.0000000  -3.9373145e-12   3.7642511e-11  -2.9930087e-13   2.5857757e-11  -3.1550708e-12   1.8855926e-12  -1.1849367e-12
       121300.00       0.0000000  -4.2842977e-12   3.7772018e-11  -3.2573415e-13   2.5319052e-11  -2.8072137e-12   1.9796489e-12  -8.6497346e-13
       122300.00       0.0000000  -4.6312810e-12   3.7901529e-11  -3.5216746e-13   2.4780350e-11  -2.4593565e-12   2.0737054e-12  -5.4501022e-13
       123300.00       0.0000000  -4.9782643e-12   3.8031037e-11  -3.7860074e-13   2.4241645e-11  -2.1114996e-12   2.1677618e-12  -2.2504695e-13
       124300.00       0.0000000  -5.3252476e-12   3.8160548e-11  -4.0503402e-13   2.3702942e-11  -1.7636423e-12   2.2618183e-12   9.4916296e-14
       125300.00       0.0000000  -4.9604240e-12   3.8443127e-11  -3.0154722e-14   2.3360706e-11  -1.8239483e-12   2.4031237e-12  -2.9024534e-13
       126300.00       0.0000000  -4.5956004e-12   3.8725707e-11   3.4472457e-13   2.3018469e-11  -1.8842545e-12   2.5444293e-12  -6.7540700e-13
       127300.00       0.0000000  -4.2307763e-12   3.9008290e-11   7.1960390e-13   2.2676232e-11  -1.9445606e-12   2.6857347e-12  -1.0605686e-12
       128300.00       0.0000000  -3.8659527e-12   3.9290869e-11   1.0944832e-12   2.2333996e-11  -2.0048665e-12   2.8270400e-12  -1.4457303e-12
       129300.00       0.0000000  -3.9987662e-12   3.9122719e-11   1.3577757e-12   2.2269702e-11  -1.9222219e-12   2.7344082e-12  -1.5266713e-12
       130300.00       0.0000000  -4.1315796e-12   3.8954569e-11   1.6210681e-12   2.2205406e-11  -1.8395771e-12   2.6417766e-12  -1.6076123e-12
       131300.00       0.0000000  -4.2643931e-12   3.8786419e-11   1.8843605e-12   2.2141112e-11  -1.7569325e-12   2.5491447e-12  -1.6885533e-12
       132300.00       0.0000000  -4.3972066e-12   3.8618268e-11   2.1476529e-12   2.2076816e-11  -1.6742878e-12   2.4565129e-12  -1.7694943e-12
       133300.00       0.0000000  -4.8130384e-12   3.8550021e-11   1.9654393e-12   2.0949246e-11  -1.7363045e-12   2.3495617e-12  -1.3704358e-12
       134300.00       0.0000000  -5.2288707e-12   3.8481777e-11   1.7832258e-12   1.9821674e-11  -1.7983213e-12   2.2426106e-12  -9.7137717e-13
       135300.00       0.0000000  -5.6447026e-12   3.8413529e-11   1.6010122e-12   1.8694104e-11  -1.8603381e-12   2.1356595e-12  -5.7231872e-13
       136300.00       0.0000000  -6.0605349e-12   3.8345285e-11   1.4187985e-12   1.7566532e-11  -1.9223546e-12   2.0287084e-12  -1.7326018e-13
       137300.00       0.0000000  -6.2586360e-12   3.8231234e-11   1.3900046e-12   1.6775885e-11  -1.6724556e-12   2.0597842e-12  -3.8470122e-13
       138300.00       0.0000000  -6.4567375e-12   3.8117186e-11   1.3612108e-12   1.5985236e-11  -1.4225565e-12   2.0908600e-12  -5.9614222e-13
       139300.00       0.0000000  -6.6548386e-12   3.8003139e-11   1.3324170e-12   1.5194589e-11  -1.1726573e-12   2.1219359e-12  -8.0758328e-13
