       time(sec)         focus        45deg_astig      0deg_astig       y_coma          x_coma         y_trefoil       x_trefoil       spherical
       56200.000       0.0000000   1.1405488e-11   2.2596626e-11  -3.9186965e-12   1.6407880e-11  -1.1517776e-12   2.8319048e-12   3.5086998e-12
       57200.000       0.0000000   6.2198042e-12   2.1551346e-11  -3.2304756e-12   1.6646051e-11  -1.4949147e-12   8.8421067e-13   2.8381002e-12
       58200.000       0.0000000   3.5109387e-12   2.3882523e-11  -4.5895527e-12   1.7599797e-11  -1.5223598e-12   2.6787524e-12   1.4858534e-12
       59200.000       0.0000000   2.3872471e-12   2.3497095e-11  -4.3681291e-12   1.7743907e-11  -1.1323764e-12   2.5331369e-12   1.7777959e-12
       60200.000       0.0000000   1.0532935e-12   2.5370570e-11  -1.7156959e-12   1.6782038e-11  -1.3690813e-12   3.3650586e-13   1.3078809e-12
       61200.000       0.0000000   1.6946839e-12   2.7835918e-11  -4.3584290e-13   1.6967362e-11  -1.0535199e-12   1.9772422e-12  -3.3091094e-13
       62200.000       0.0000000   4.8691639e-13   2.8748014e-11  -2.5011740e-12   2.0263903e-11  -7.4862208e-13   2.3829677e-12  -1.3119303e-13
       63200.000       0.0000000  -1.1372129e-12   2.8438781e-11  -1.5519296e-12   2.0152213e-11  -8.2232420e-13   2.3950119e-12   4.4667354e-13
       64200.000       0.0000000   5.5874278e-15   2.6889302e-11  -1.4439922e-12   1.9546625e-11  -2.9582531e-14   2.0837778e-12   1.9568421e-13
       65200.000       0.0000000   5.8131522e-13   2.9553596e-11  -1.1831892e-12   1.8733928e-11  -2.5880743e-12   2.0434576e-12   5.2015309e-13
       66200.000       0.0000000   1.4272996e-12   3.0488414e-11  -5.0596479e-13   1.9267801e-11  -2.0237846e-12   1.4913393e-12  -1.7009801e-13
       67200.000       0.0000000   1.3863819e-12   3.1079483e-11  -8.2185945e-13   2.0020369e-11  -1.9430757e-12   1.6116245e-12  -2.7672268e-13
       68200.000       0.0000000   1.3454642e-12   3.1670552e-11  -1.1377541e-12   2.0772937e-11  -1.8623670e-12   1.7319096e-12  -3.8334738e-13
       69200.000       0.0000000   1.3045465e-12   3.2261624e-11  -1.4536487e-12   2.1525505e-11  -1.7816583e-12   1.8521948e-12  -4.8997205e-13
       70200.000       0.0000000   1.2636288e-12   3.2852693e-11  -1.7695434e-12   2.2278075e-11  -1.7009496e-12   1.9724801e-12  -5.9659672e-13
       71200.000       0.0000000   7.7852742e-13   3.3226925e-11  -1.3516359e-12   2.2159483e-11  -1.8392271e-12   2.1357161e-12  -5.4200042e-13
