       time(sec)         focus        45deg_astig      0deg_astig       y_coma          x_coma         y_trefoil       x_trefoil       spherical
       25600.000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
       26600.000       0.0000000   4.6457465e-12   1.0990622e-12  -7.6018244e-13  -5.2194973e-14  -4.6440147e-13   1.1720637e-12   1.3042406e-12
       27600.000       0.0000000   9.2914929e-12   2.1981245e-12  -1.5203649e-12  -1.0438995e-13  -9.2880293e-13   2.3441275e-12   2.6084811e-12
       28600.000       0.0000000   9.9742237e-12   2.3521907e-12  -2.4427307e-12   8.7263286e-13  -1.2742819e-12   1.8672785e-12   2.9204634e-12
       29600.000       0.0000000   1.0656955e-11   2.5062567e-12  -3.3650966e-12   1.8496556e-12  -1.6197609e-12   1.3904294e-12   3.2324453e-12
       30600.000       0.0000000   1.0931292e-11   2.5336569e-12  -4.1212272e-12   1.9425451e-12  -2.1837965e-12   1.2943293e-12   3.5734135e-12
       31600.000       0.0000000   1.1205629e-11   2.5610568e-12  -4.8773576e-12   2.0354345e-12  -2.7478321e-12   1.1982292e-12   3.9143814e-12
       32600.000       0.0000000   1.2592452e-11   2.8226232e-12  -5.6567554e-12   2.5780203e-12  -3.2467356e-12   1.3011295e-12   4.1961525e-12
       33600.000       0.0000000   1.3979275e-11   3.0841894e-12  -6.4361528e-12   3.1206058e-12  -3.7456388e-12   1.4040296e-12   4.4779237e-12
       34600.000       0.0000000   1.2724323e-11   4.7543861e-12  -5.7591952e-12   4.1445593e-12  -3.3709019e-12   1.6832876e-12   4.4588873e-12
       35600.000       0.0000000   1.1469371e-11   6.4245831e-12  -5.0822380e-12   5.1685128e-12  -2.9961647e-12   1.9625458e-12   4.4398508e-12
       36600.000       0.0000000   1.0731379e-11   6.4242262e-12  -5.7803723e-12   5.6162254e-12  -1.5348285e-12   1.6386490e-12   4.7138192e-12
       37600.000       0.0000000   9.9933872e-12   6.4238692e-12  -6.4785065e-12   6.0639380e-12  -7.3492217e-14   1.3147522e-12   4.9877875e-12
       38600.000       0.0000000   1.0958129e-11   8.2101183e-12  -5.8925837e-12   6.5232854e-12  -1.1114138e-12   1.5551019e-12   4.7346710e-12
       39600.000       0.0000000   1.1922869e-11   9.9963674e-12  -5.3066614e-12   6.9826328e-12  -2.1493354e-12   1.7954515e-12   4.4815540e-12
       40600.000       0.0000000   1.2425993e-11   9.9297940e-12  -6.6612137e-12   7.1701542e-12  -1.9028685e-12   1.8786036e-12   3.9956484e-12
       41600.000       0.0000000   1.2929118e-11   9.8632205e-12  -8.0157669e-12   7.3576752e-12  -1.6564017e-12   1.9617558e-12   3.5097433e-12
       42600.000       0.0000000   1.2684783e-11   1.0753458e-11  -7.3093389e-12   8.4733288e-12  -1.3434395e-12   1.7257658e-12   3.7208565e-12
       43600.000       0.0000000   1.2440447e-11   1.1643696e-11  -6.6029109e-12   9.5889815e-12  -1.0304772e-12   1.4897759e-12   3.9319698e-12
       44600.000       0.0000000   1.3013772e-11   1.3306241e-11  -5.5363474e-12   1.0195003e-11  -1.0641603e-12   1.9973743e-12   4.1067059e-12
       45600.000       0.0000000   1.3587098e-11   1.4968785e-11  -4.4697839e-12   1.0801024e-11  -1.0978433e-12   2.5049726e-12   4.2814424e-12
       46600.000       0.0000000   1.2756777e-11   1.5585254e-11  -5.4134548e-12   1.1101720e-11  -1.0464981e-12   2.6219680e-12   4.2018429e-12
       47600.000       0.0000000   1.1926458e-11   1.6201722e-11  -6.3571258e-12   1.1402417e-11  -9.9515285e-13   2.7389634e-12   4.1222433e-12
       48600.000       0.0000000   1.1379691e-11   1.7520315e-11  -5.7847863e-12   1.1680643e-11  -1.6129223e-12   2.1284608e-12   3.9777816e-12
       49600.000       0.0000000   1.0832925e-11   1.8838906e-11  -5.2124468e-12   1.1958868e-11  -2.2306918e-12   1.5179583e-12   3.8333199e-12
       50600.000       0.0000000   1.2516376e-11   1.9433993e-11  -5.0258899e-12   1.3135302e-11  -1.5118273e-12   2.0190113e-12   3.6183914e-12
       51600.000       0.0000000   1.4199826e-11   2.0029077e-11  -4.8393334e-12   1.4311737e-11  -7.9296308e-13   2.5200645e-12   3.4034626e-12
       52600.000       0.0000000   1.2421906e-11   2.0063898e-11  -4.7309470e-12   1.4326721e-11  -1.3642429e-12   2.0012364e-12   3.8699165e-12
       53600.000       0.0000000   1.0643985e-11   2.0098718e-11  -4.6225610e-12   1.4341707e-11  -1.9355227e-12   1.4824083e-12   4.3363702e-12
       54600.000       0.0000000   1.1141383e-11   2.1391817e-11  -5.1968946e-12   1.4907735e-11  -1.8622519e-12   1.8915429e-12   3.5865553e-12
